,actual,predicted
90,9859.451995600748,9771.878065231545
91,57338.8826730182,47985.52932911976
92,49705.42899490794,62057.72622867162
93,21274.516136503404,9280.813668356986
94,63762.27566594377,7938.838214393355
95,11868.876715027833,6863.691326070682
96,47985.52932911976,39118.005410635335
97,9317.957864852378,9293.776045176004
98,8742.32932384031,9257.868610911371
99,37515.93202145539,9459.20062086029
100,12042.551403577489,10025.288821096809
101,33554.32511594699,58920.160713725476
102,23624.354744807148,8877.478923333903
103,17322.650629609107,35667.45080629729
104,9257.868610911371,46394.84451020436
105,10065.380970288432,38945.39703748202
106,11094.555870764645,18249.988155349805
107,8163.387784101064,43680.28543042885
108,11067.28686023512,9256.053940559537
109,23246.714531786536,17322.650629609107
110,11204.828062845674,49115.17161956761
111,8066.165720234737,56487.210101355246
112,11412.951873129688,9361.766671990532
113,55194.319994885474,10435.80528534411
114,60938.1264863382,6936.131319903626
115,19253.548100987136,6876.89926250261
116,58358.7085903814,19542.396058441806
117,9769.217912147546,49077.11268472097
118,9331.513573250055,8742.32932384031
119,32761.50047526346,39250.80052629207
120,36271.43935803147,49888.54143728071
121,23739.15085242872,7710.687733685396
122,62423.31631922451,34792.03655461593
123,64278.054185935165,10490.007586071159
124,13857.305812584957,9930.674040369962
125,9891.869423234371,62706.67372593294
126,6981.4984335982535,18249.988155349805
127,56582.73600813084,19334.539691573817
128,34227.99348504682,13676.34017259948
129,8071.3029094751655,11790.147523080152
130,11708.363288243756,9626.813117169007
131,55195.137816626986,9450.466277059197
132,38036.317062837436,8833.505362074678
133,10510.034171704712,13756.023086013043
134,34494.55803311824,11921.435165126077
135,9717.016442038339,48847.40823053405
136,9904.575810243983,9497.297806937539
137,11773.198675371921,10339.524889215249
138,32233.323520023998,9477.990024316197
139,7814.337712976736,6392.260614137999
140,27331.263282150423,7439.767841147062
141,8765.473721004164,38113.70456659907
142,5287.3609893427665,52269.17943167728
143,31724.833897113775,10896.998400647026
144,48048.99053306396,57487.01515170049
145,9430.016112771878,6200.59475576112
146,11990.488615662276,56380.28712346453
147,19402.8416032912,19627.28825534648
148,56566.86949782608,51278.49280008602
149,9806.924469363232,8954.158970091248
150,9162.150521823929,46122.25671169095
151,9686.65125871297,59662.9282292984
152,9918.308668278332,34821.31080247099
153,52337.86118262175,9851.426161615362
154,57485.01032159466,51687.41915252319
155,46772.61045091484,9188.617835221512
156,52933.302206050605,9092.554159304476
157,19525.268278261778,34459.348630596105
158,9864.194047889316,26513.53054611785
159,46361.72872982204,7582.976117306778
160,5310.572518289384,9450.466277059197
161,8889.081471529966,34257.62003537008
162,17686.35258806184,11879.584901771097
163,9544.681652890918,42972.262971363045
164,45744.50756603357,33968.402093267156
165,16437.991446762608,10435.80528534411
166,36038.04008952851,6981.4984335982535
167,39371.80810015957,11879.584901771097
168,16300.409873589102,39328.73330645509
169,8955.921135362438,10753.044871228296
170,10343.030301600946,10753.862590734716
171,37238.718781996584,41012.643324608754
172,11883.101432960066,61537.55746297608
173,51662.57137586938,11772.869181747854
174,9497.297806937539,32130.17346309763
175,11717.100785297045,11106.448393020888
176,34086.89737577032,57482.93650546661
177,9747.911328727932,47892.7518859006
178,61688.42098731421,39040.658851987304
179,9534.740883631206,7288.358737192628
180,45643.03731280584,9309.814559331748
181,43569.742604372455,27331.263282150423
182,48668.46595978167,46772.61045091484
183,59252.26059730546,12042.551403577489
184,65679.2323376171,55321.728338094996
185,9771.878065231545,48847.40823053405
186,11921.435165126077,18537.121375319904
187,7230.105779766356,58456.996972367124
188,24664.08807050762,9506.92901766183
189,9460.522882754794,34004.30251623712
190,47798.71239995302,9287.368950691622
191,19322.94799834116,9221.519004188078
192,39210.36845100364,8904.402594722647
193,55358.80259892582,6920.37356571389
194,10199.420632167119,9683.211284179064
195,6883.834422353539,55358.80259892582
196,64345.4986590958,32381.430771534466
197,7182.969388967413,13550.434159114573
198,48388.94916729898,16756.1623860565
199,32822.03507152393,37731.20348609403
200,36300.178289215495,48661.325285773455
